code_uic;Partitionner;nombre_de_voyageurs_montant;nb_voy
87001479;"1-Apprentissage";"entre  5000 et 15000";"4"
87111278;"2-Test";"entre  5000 et 15000";"4"
87113001;"1-Apprentissage";"plus de 15000";"5"
87113209;"1-Apprentissage";"entre  5000 et 15000";"4"
87113217;"1-Apprentissage";"plus de 15000";"5"
87113407;"1-Apprentissage";"plus de 15000";"5"
87113472;"1-Apprentissage";"entre  5000 et 15000";"4"
87113514;"2-Test";"entre  5000 et 15000";"4"
87113522;"1-Apprentissage";"entre  5000 et 15000";"4"
87113696;"2-Test";"entre  5000 et 15000";"4"
87113704;"2-Test";"entre  5000 et 15000";"4"
87113712;"1-Apprentissage";"plus de 15000";"5"
87113746;"2-Test";"entre  5000 et 15000";"4"
87113779;"1-Apprentissage";"entre  1000 et 5000";"3"
87113795;"1-Apprentissage";"entre  5000 et 15000";"4"
87113803;"2-Test";"entre  1000 et 5000";"3"
87113845;"1-Apprentissage";"entre  1000 et 5000";"3"
87113852;"2-Test";"entre  1000 et 5000";"3"
87113860;"1-Apprentissage";"entre  1000 et 5000";"3"
87113878;"1-Apprentissage";"entre  300 et 1000";"2"
87113886;"2-Test";"entre  1000 et 5000";"3"
87113894;"2-Test";"entre  1000 et 5000";"3"
87115873;"2-Test";"moins de 300";"1"
87116012;"1-Apprentissage";"entre  1000 et 5000";"3"
87116020;"2-Test";"entre  1000 et 5000";"3"
87116038;"1-Apprentissage";"entre  5000 et 15000";"4"
87116046;"1-Apprentissage";"entre  5000 et 15000";"4"
87116079;"2-Test";"entre  300 et 1000";"2"
87116087;"1-Apprentissage";"entre  300 et 1000";"2"
87116095;"2-Test";"entre  1000 et 5000";"3"
87116103;"1-Apprentissage";"entre  5000 et 15000";"4"
87116111;"1-Apprentissage";"plus de 15000";"5"
87116137;"1-Apprentissage";"entre  1000 et 5000";"3"
87116160;"1-Apprentissage";"entre  300 et 1000";"2"
87116178;"1-Apprentissage";"moins de 300";"1"
87116210;"1-Apprentissage";"entre  1000 et 5000";"3"
87116228;"1-Apprentissage";"entre  300 et 1000";"2"
87116244;"1-Apprentissage";"moins de 300";"1"
87116269;"1-Apprentissage";"moins de 300";"1"
87116277;"1-Apprentissage";"entre  300 et 1000";"2"
87116285;"1-Apprentissage";"moins de 300";"1"
87116293;"1-Apprentissage";"entre  1000 et 5000";"3"
87116301;"1-Apprentissage";"entre  1000 et 5000";"3"
87116319;"1-Apprentissage";"entre  5000 et 15000";"4"
87116327;"1-Apprentissage";"entre  1000 et 5000";"3"
87116400;"2-Test";"moins de 300";"1"
87116491;"1-Apprentissage";"entre  1000 et 5000";"3"
87116509;"2-Test";"entre  300 et 1000";"2"
87116517;"1-Apprentissage";"entre  1000 et 5000";"3"
87116558;"2-Test";"entre  1000 et 5000";"3"
87116616;"2-Test";"moins de 300";"1"
87116632;"1-Apprentissage";"entre  300 et 1000";"2"
87116640;"2-Test";"moins de 300";"1"
87116731;"1-Apprentissage";"moins de 300";"1"
87116749;"1-Apprentissage";"moins de 300";"1"
87116772;"2-Test";"entre  300 et 1000";"2"
87164780;"1-Apprentissage";"entre  5000 et 15000";"4"
87164798;"1-Apprentissage";"plus de 15000";"5"
87271015;"2-Test";"plus de 15000";"5"
87271031;"2-Test";"plus de 15000";"5"
87271122;"1-Apprentissage";"plus de 15000";"5"
87271148;"1-Apprentissage";"entre  1000 et 5000";"3"
87271163;"1-Apprentissage";"entre  5000 et 15000";"4"
87271171;"1-Apprentissage";"entre  1000 et 5000";"3"
87271205;"2-Test";"entre  1000 et 5000";"3"
87271247;"1-Apprentissage";"entre  5000 et 15000";"4"
87271304;"1-Apprentissage";"entre  5000 et 15000";"4"
87271395;"1-Apprentissage";"plus de 15000";"5"
87271403;"1-Apprentissage";"entre  5000 et 15000";"4"
87271411;"1-Apprentissage";"plus de 15000";"5"
87271429;"1-Apprentissage";"entre  5000 et 15000";"4"
87271437;"1-Apprentissage";"entre  5000 et 15000";"4"
87271445;"1-Apprentissage";"entre  5000 et 15000";"4"
87271452;"1-Apprentissage";"entre  1000 et 5000";"3"
87271460;"1-Apprentissage";"entre  5000 et 15000";"4"
87271478;"1-Apprentissage";"entre  1000 et 5000";"3"
87271486;"2-Test";"entre  1000 et 5000";"3"
87271510;"1-Apprentissage";"entre  5000 et 15000";"4"
87271528;"1-Apprentissage";"entre  1000 et 5000";"3"
87271536;"1-Apprentissage";"entre  1000 et 5000";"3"
87272021;"1-Apprentissage";"moins de 300";"1"
87272039;"2-Test";"moins de 300";"1"
87272047;"2-Test";"moins de 300";"1"
87272054;"1-Apprentissage";"moins de 300";"1"
87272146;"1-Apprentissage";"entre  1000 et 5000";"3"
87276022;"1-Apprentissage";"entre  5000 et 15000";"4"
87276030;"1-Apprentissage";"entre  1000 et 5000";"3"
87276055;"2-Test";"plus de 15000";"5"
87276063;"1-Apprentissage";"entre  5000 et 15000";"4"
87276071;"1-Apprentissage";"entre  5000 et 15000";"4"
87276089;"2-Test";"entre  5000 et 15000";"4"
87276097;"1-Apprentissage";"entre  1000 et 5000";"3"
87276105;"1-Apprentissage";"entre  1000 et 5000";"3"
87276139;"2-Test";"entre  5000 et 15000";"4"
87276147;"1-Apprentissage";"moins de 300";"1"
87276154;"1-Apprentissage";"entre  300 et 1000";"2"
87276162;"1-Apprentissage";"moins de 300";"1"
87276170;"1-Apprentissage";"entre  5000 et 15000";"4"
87276188;"2-Test";"entre  1000 et 5000";"3"
87276196;"1-Apprentissage";"plus de 15000";"5"
87276220;"1-Apprentissage";"plus de 15000";"5"
87276238;"2-Test";"entre  1000 et 5000";"3"
87276246;"1-Apprentissage";"entre  5000 et 15000";"4"
87276253;"1-Apprentissage";"entre  1000 et 5000";"3"
87276261;"1-Apprentissage";"entre  1000 et 5000";"3"
87276345;"1-Apprentissage";"entre  5000 et 15000";"4"
87276360;"1-Apprentissage";"entre  1000 et 5000";"3"
87276386;"1-Apprentissage";"entre  5000 et 15000";"4"
87276394;"1-Apprentissage";"entre  1000 et 5000";"3"
