COM;LIBGEO;EFFECTIF_AZ;EFFECTIF_BE;EFFECTIF_FZ;EFFECTIF_GU;EFFECTIF_OQ
75101;Paris 1er Arrondissement;10;2812;624;54660;13164
75102;Paris 2e Arrondissement;86;4229;435;58712;4094
75103;Paris 3e Arrondissement;3;2169;317;19951;5129
75104;Paris 4e Arrondissement;0;1867;362;19919;45736
75105;Paris 5e Arrondissement;0;782;715;28263;23358
75106;Paris 6e Arrondissement;3;1514;280;30197;14527
75107;Paris 7e Arrondissement;13;1470;1126;34590;34541
75108;Paris 8e Arrondissement;18;9316;2390;171487;16486
75109;Paris 9e Arrondissement;7;3984;979;108188;10063
75110;Paris 10e Arrondissement;0;3655;1591;50594;17453
75111;Paris 11e Arrondissement;0;4295;2730;41361;11918
75112;Paris 12e Arrondissement;533;3962;2546;81399;36917
75113;Paris 13e Arrondissement;0;3183;1481;63200;33215
75114;Paris 14e Arrondissement;1;4840;1212;39979;26094
75115;Paris 15e Arrondissement;7;4480;2556;96153;33206
75116;Paris 16e Arrondissement;46;4122;1239;76936;15741
75117;Paris 17e Arrondissement;4;5282;2592;72035;13081
75118;Paris 18e Arrondissement;0;2877;3209;35021;14709
75119;Paris 19e Arrondissement;0;1426;2270;39379;25420
75120;Paris 20e Arrondissement;10;2375;2551;25030;17926
1001;L'Abergement-Cl_menciat;8;0;6;10;11
1002;L'Abergement-de-Varey;0;1;0;0;2
1004;Amb_rieu-en-Bugey;0;469;364;2893;1411
1005;Amb_rieux-en-Dombes;3;39;25;45;45
1006;Ambl_on;0;0;0;0;1
1007;Ambronay;7;46;33;146;113
1008;Ambutrix;0;0;11;58;30
1009;Andert-et-Condon;0;3;0;12;2
1010;Anglefort;1;131;6;9;25
1011;Apremont;0;0;0;3;5
1012;Aranc;0;14;0;5;5
1013;Arandas;1;0;0;0;3
1014;Arbent;0;1425;103;1062;294
1015;Arbignieu;0;9;11;0;7
1016;Arbigny;1;5;0;0;2
1017;Argis;0;0;7;24;7
1019;Armix;0;0;0;0;1
1021;Ars-sur-Formans;1;4;23;65;18
1022;Artemare;0;10;23;98;84
1023;Asnières-sur-Sa™ne;0;0;0;0;1
1024;Attignat;1;311;37;358;33
1025;B‰g_-la-Ville;35;26;29;56;101
1026;B‰g_-le-Ch‰tel;0;3;5;48;116
1027;Balan;2;379;29;213;60
1028;Baneins;2;4;5;2;9
1029;Beaupont;3;9;3;1;101
1030;Beauregard;0;1;0;24;12
1031;Bellignat;0;1132;102;444;260
1032;B_ligneux;0;284;88;273;51
1033;Bellegarde-sur-Valserine;0;415;307;1269;1122
1034;Belley;42;1521;222;1173;1930
1035;Belleydoux;0;1;2;1;5
1036;Belmont-Luth_zieu;0;0;4;11;3
1037;B_nonces;0;1;1;2;3
1038;B_ny;1;3;12;5;12
1039;B_on;0;6;26;62;5
1040;B_r_ziat;2;0;0;5;3
1041;Bettant;0;0;4;9;8
1042;Bey;0;0;0;8;2
1043;Beynost;1;1170;169;1728;312
1044;Billiat;0;8;20;1;10
1045;Birieux;3;1;2;11;13
1046;Biziat;2;0;25;13;8
1047;Blyes;2;546;25;326;157
1049;La Boisse;1;669;79;301;208
1050;Boissey;2;0;1;17;5
1051;Bolozon;0;0;0;2;4
1052;Bouligneux;2;0;0;15;1
1053;Bourg-en-Bresse;100;4233;1058;11046;12895
1054;Bourg-Saint-Christophe;2;0;14;22;12
1056;Boyeux-Saint-J_r™me;8;6;2;4;2
1057;Boz;0;10;8;9;8
1058;Br_gnier-Cordon;0;99;8;25;69
1059;Br_naz;0;0;1;0;5
1060;Br_nod;2;5;9;45;10
1061;Brens;0;18;0;4;20
1062;Bressolles;3;107;15;104;9
1063;Brion;0;188;67;99;15
1064;Briord;0;445;2;32;27
1065;Buellas;1;6;44;43;17
1066;La Burbanche;0;1;0;0;1
1067;Ceignes;0;29;2;42;2
