CODGEO;LIBGEO;REG;DEP;ARR;ZE2010;NB_B101;NB_B102;NB_B103;NB_B201;NB_B202;NB_B203;NB_B204;NB_B205;NB_B206;NB_B301;NB_B302;NB_B303;NB_B304;NB_B305;NB_B306;NB_B307;NB_B308;NB_B309;NB_B310;NB_B311;NB_B312;NB_B313;NB_B314
75101;Paris 1er Arrondissement;11;75;751;1101;1;2;2;9;25;34;8;0;1;84;598;26;101;17;35;23;4;7;86;130;31;32;1
75102;Paris 2e Arrondissement;11;75;751;1101;0;4;4;11;22;29;10;1;1;70;484;21;42;11;16;8;3;8;31;59;14;35;0
75103;Paris 3e Arrondissement;11;75;751;1101;1;4;1;12;34;33;4;4;1;31;372;33;50;12;35;12;3;15;27;53;20;29;0
75104;Paris 4e Arrondissement;11;75;751;1101;0;6;1;8;39;45;16;0;2;71;328;64;59;11;23;12;2;4;35;28;37;35;0
75105;Paris 5e Arrondissement;11;75;751;1101;0;9;2;11;64;75;26;7;5;174;145;30;21;15;20;39;6;15;19;21;31;31;1
75106;Paris 6e Arrondissement;11;75;751;1101;0;7;0;12;37;57;17;2;5;179;624;75;140;7;48;13;12;7;43;75;26;45;0
75107;Paris 7e Arrondissement;11;75;751;1101;0;12;0;11;49;59;20;2;4;93;264;65;51;12;87;7;18;13;28;46;42;32;3
75108;Paris 8e Arrondissement;11;75;751;1101;0;23;1;17;54;63;14;4;1;135;679;101;119;44;69;30;16;9;108;150;41;86;3
75109;Paris 9e Arrondissement;11;75;751;1101;0;20;1;15;86;80;35;3;4;159;481;60;97;51;38;16;2;9;81;94;36;62;0
75110;Paris 10e Arrondissement;11;75;751;1101;0;23;3;26;158;87;70;8;9;115;519;48;50;48;32;15;15;16;87;37;35;46;2
75111;Paris 11e Arrondissement;11;75;751;1101;0;27;6;28;159;132;64;10;7;133;394;65;50;65;94;35;11;37;35;30;52;67;1
75112;Paris 12e Arrondissement;11;75;751;1101;0;29;4;21;108;129;55;10;9;128;189;47;32;37;70;25;9;31;38;31;47;63;9
75113;Paris 13e Arrondissement;11;75;751;1101;3;33;5;24;107;107;52;9;4;87;159;33;29;24;14;19;5;10;27;32;36;49;6
75114;Paris 14e Arrondissement;11;75;751;1101;1;28;2;13;108;107;45;8;7;98;250;49;43;17;38;20;5;23;32;29;48;42;4
75115;Paris 15e Arrondissement;11;75;751;1101;9;59;11;30;140;150;73;13;15;180;359;76;69;46;58;30;20;30;67;57;118;75;12
75116;Paris 16e Arrondissement;11;75;751;1101;4;23;2;20;107;106;53;5;13;118;511;69;79;36;63;23;21;24;76;74;72;71;11
75117;Paris 17e Arrondissement;11;75;751;1101;2;32;3;32;135;135;73;9;13;141;474;67;80;42;68;36;15;28;74;44;70;80;4
75118;Paris 18e Arrondissement;11;75;751;1101;0;39;4;19;264;153;116;9;21;98;485;62;50;59;25;14;7;32;100;66;45;66;6
75119;Paris 19e Arrondissement;11;75;751;1101;0;33;4;33;134;123;72;9;11;78;201;20;29;26;15;3;3;11;34;20;30;56;8
75120;Paris 20e Arrondissement;11;75;751;1101;2;33;7;29;189;128;82;8;5;94;258;34;42;46;35;9;8;23;39;33;46;48;4
1001;L'Abergement-Cl_menciat;82;1;12;8213;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1002;L'Abergement-de-Varey;82;1;11;8201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
